"module","pattern","transfer_shape","proof_obligations","coqc_seconds"
"V60_AssocLookup","association list","update/lookup","3","0.61"
"V60_BoolNatEncoding","boolean encoding","section","3","0.36"
"V60_ExprSimplifier","expression rewrite","semantic preservation","3","0.61"
"V60_ListMapIdentity","list invariant","structure preservation","3","0.58"
"V60_OptionSentinel","option-to-sentinel","section","3","0.36"
"V60_PairAccumulator","accumulator refinement","fold preservation","3","0.66"
"V60_ProductSwap","product relation","isomorphism","3","0.38"
"V60_RecordTuple","record-to-tuple","section/retraction","3","0.43"
"V60_SetLikeList","set-like list","membership preservation","3","1.45"
"V60_SigmaPackage","sigma packaging","projection preservation","3","0.38"
"V60_StackWrapper","wrapper refinement","API preservation","4","0.59"
"V60_TreeMirror","tree representation","involution","3","0.58"
