"module","pattern","transfer_shape","proof_obligations","coqc_status","coqc_ms","coqc_log"
"V60_RecordTuple","record-to-tuple","section/retraction","3","kernel_success","431.8","logs/V60_RecordTuple.coqc.log"
"V60_BoolNatEncoding","boolean encoding","section","3","kernel_success","359.3","logs/V60_BoolNatEncoding.coqc.log"
"V60_OptionSentinel","option-to-sentinel","section","3","kernel_success","362.4","logs/V60_OptionSentinel.coqc.log"
"V60_StackWrapper","wrapper refinement","API preservation","4","kernel_success","592.1","logs/V60_StackWrapper.coqc.log"
"V60_ListMapIdentity","list invariant","structure preservation","3","kernel_success","578","logs/V60_ListMapIdentity.coqc.log"
"V60_AssocLookup","association list","update/lookup","3","kernel_success","611.1","logs/V60_AssocLookup.coqc.log"
"V60_TreeMirror","tree representation","involution","3","kernel_success","581.8","logs/V60_TreeMirror.coqc.log"
"V60_ExprSimplifier","expression rewrite","semantic preservation","3","kernel_success","608.6","logs/V60_ExprSimplifier.coqc.log"
"V60_ProductSwap","product relation","isomorphism","3","kernel_success","384.7","logs/V60_ProductSwap.coqc.log"
"V60_SigmaPackage","sigma packaging","projection preservation","3","kernel_success","379.9","logs/V60_SigmaPackage.coqc.log"
"V60_SetLikeList","set-like list","membership preservation","3","kernel_success","1451.5","logs/V60_SetLikeList.coqc.log"
"V60_PairAccumulator","accumulator refinement","fold preservation","3","kernel_success","655.6","logs/V60_PairAccumulator.coqc.log"
