"module","category","file","coqc_status","coqc_ms","coqc_log"
"V58_EQ_01","eq","V58_EQ_01.v","kernel_success","478.4","logs/V58_EQ_01.coqc.log"
"V58_SECTION_02","section","V58_SECTION_02.v","kernel_success","478.2","logs/V58_SECTION_02.coqc.log"
"V58_RETRACTION_03","retraction","V58_RETRACTION_03.v","kernel_success","465.3","logs/V58_RETRACTION_03.coqc.log"
"V58_LOGICAL_04","logical","V58_LOGICAL_04.v","kernel_success","435.6","logs/V58_LOGICAL_04.coqc.log"
"V58_PRODUCT_05","product","V58_PRODUCT_05.v","kernel_success","418","logs/V58_PRODUCT_05.coqc.log"
"V58_EQ_06","eq","V58_EQ_06.v","kernel_success","524.6","logs/V58_EQ_06.coqc.log"
"V58_SECTION_07","section","V58_SECTION_07.v","kernel_success","513.5","logs/V58_SECTION_07.coqc.log"
"V58_RETRACTION_08","retraction","V58_RETRACTION_08.v","kernel_success","502.1","logs/V58_RETRACTION_08.coqc.log"
"V58_LOGICAL_09","logical","V58_LOGICAL_09.v","kernel_success","497","logs/V58_LOGICAL_09.coqc.log"
"V58_PRODUCT_10","product","V58_PRODUCT_10.v","kernel_success","510.5","logs/V58_PRODUCT_10.coqc.log"
"V58_EQ_11","eq","V58_EQ_11.v","kernel_success","422.3","logs/V58_EQ_11.coqc.log"
"V58_SECTION_12","section","V58_SECTION_12.v","kernel_success","362.3","logs/V58_SECTION_12.coqc.log"
"V58_RETRACTION_13","retraction","V58_RETRACTION_13.v","kernel_success","339.7","logs/V58_RETRACTION_13.coqc.log"
"V58_LOGICAL_14","logical","V58_LOGICAL_14.v","kernel_success","414.4","logs/V58_LOGICAL_14.coqc.log"
"V58_PRODUCT_15","product","V58_PRODUCT_15.v","kernel_success","385.6","logs/V58_PRODUCT_15.coqc.log"
"V58_EQ_16","eq","V58_EQ_16.v","kernel_success","375.8","logs/V58_EQ_16.coqc.log"
"V58_SECTION_17","section","V58_SECTION_17.v","kernel_success","453.9","logs/V58_SECTION_17.coqc.log"
"V58_RETRACTION_18","retraction","V58_RETRACTION_18.v","kernel_success","372","logs/V58_RETRACTION_18.coqc.log"
"V58_LOGICAL_19","logical","V58_LOGICAL_19.v","kernel_success","384.8","logs/V58_LOGICAL_19.coqc.log"
"V58_PRODUCT_20","product","V58_PRODUCT_20.v","kernel_success","427.3","logs/V58_PRODUCT_20.coqc.log"
"V58_EQ_21","eq","V58_EQ_21.v","kernel_success","363","logs/V58_EQ_21.coqc.log"
"V58_SECTION_22","section","V58_SECTION_22.v","kernel_success","357.1","logs/V58_SECTION_22.coqc.log"
"V58_RETRACTION_23","retraction","V58_RETRACTION_23.v","kernel_success","365.6","logs/V58_RETRACTION_23.coqc.log"
"V58_LOGICAL_24","logical","V58_LOGICAL_24.v","kernel_success","405.8","logs/V58_LOGICAL_24.coqc.log"
"V58_PRODUCT_25","product","V58_PRODUCT_25.v","kernel_success","387.9","logs/V58_PRODUCT_25.coqc.log"
"V58_EQ_26","eq","V58_EQ_26.v","kernel_success","428.9","logs/V58_EQ_26.coqc.log"
"V58_SECTION_27","section","V58_SECTION_27.v","kernel_success","414","logs/V58_SECTION_27.coqc.log"
"V58_RETRACTION_28","retraction","V58_RETRACTION_28.v","kernel_success","366.8","logs/V58_RETRACTION_28.coqc.log"
"V58_LOGICAL_29","logical","V58_LOGICAL_29.v","kernel_success","345.1","logs/V58_LOGICAL_29.coqc.log"
"V58_PRODUCT_30","product","V58_PRODUCT_30.v","kernel_success","315.8","logs/V58_PRODUCT_30.coqc.log"
"V58_EQ_31","eq","V58_EQ_31.v","kernel_success","348.4","logs/V58_EQ_31.coqc.log"
"V58_SECTION_32","section","V58_SECTION_32.v","kernel_success","367.1","logs/V58_SECTION_32.coqc.log"
"V58_RETRACTION_33","retraction","V58_RETRACTION_33.v","kernel_success","347","logs/V58_RETRACTION_33.coqc.log"
