"module","family","obligations","coqc_status","coqc_ms","coqc_log","relpath","coqchk_status","coqchk_log"
"V66_LIST_MAP_REGRESSION_001","list-map-regression","2","kernel_success","1029.4","logs/V66_LIST_MAP_REGRESSION_001.coqc.log","experiments/kernel_replay_v66_regression_maintenance/coq/V66_LIST_MAP_REGRESSION_001.v","coqchk_success","logs/V66_BATCH.coqchk.log"
"V66_LIST_MAP_REGRESSION_002","list-map-regression","2","kernel_success","702.5","logs/V66_LIST_MAP_REGRESSION_002.coqc.log","experiments/kernel_replay_v66_regression_maintenance/coq/V66_LIST_MAP_REGRESSION_002.v","coqchk_success","logs/V66_BATCH.coqchk.log"
"V66_LIST_MAP_REGRESSION_003","list-map-regression","2","kernel_success","676.9","logs/V66_LIST_MAP_REGRESSION_003.coqc.log","experiments/kernel_replay_v66_regression_maintenance/coq/V66_LIST_MAP_REGRESSION_003.v","coqchk_success","logs/V66_BATCH.coqchk.log"
"V66_LIST_MAP_REGRESSION_004","list-map-regression","2","kernel_success","544.8","logs/V66_LIST_MAP_REGRESSION_004.coqc.log","experiments/kernel_replay_v66_regression_maintenance/coq/V66_LIST_MAP_REGRESSION_004.v","coqchk_success","logs/V66_BATCH.coqchk.log"
"V66_LIST_MAP_REGRESSION_005","list-map-regression","2","kernel_success","532","logs/V66_LIST_MAP_REGRESSION_005.coqc.log","experiments/kernel_replay_v66_regression_maintenance/coq/V66_LIST_MAP_REGRESSION_005.v","coqchk_success","logs/V66_BATCH.coqchk.log"
"V66_LIST_MAP_REGRESSION_006","list-map-regression","2","kernel_success","765.3","logs/V66_LIST_MAP_REGRESSION_006.coqc.log","experiments/kernel_replay_v66_regression_maintenance/coq/V66_LIST_MAP_REGRESSION_006.v","coqchk_success","logs/V66_BATCH.coqchk.log"
"V66_LIST_MAP_REGRESSION_007","list-map-regression","2","kernel_success","679.9","logs/V66_LIST_MAP_REGRESSION_007.coqc.log","experiments/kernel_replay_v66_regression_maintenance/coq/V66_LIST_MAP_REGRESSION_007.v","coqchk_success","logs/V66_BATCH.coqchk.log"
"V66_LIST_MAP_REGRESSION_008","list-map-regression","2","kernel_success","874.5","logs/V66_LIST_MAP_REGRESSION_008.coqc.log","experiments/kernel_replay_v66_regression_maintenance/coq/V66_LIST_MAP_REGRESSION_008.v","coqchk_success","logs/V66_BATCH.coqchk.log"
"V66_LIST_MAP_REGRESSION_009","list-map-regression","2","kernel_success","615.5","logs/V66_LIST_MAP_REGRESSION_009.coqc.log","experiments/kernel_replay_v66_regression_maintenance/coq/V66_LIST_MAP_REGRESSION_009.v","coqchk_success","logs/V66_BATCH.coqchk.log"
"V66_LIST_MAP_REGRESSION_010","list-map-regression","2","kernel_success","445.2","logs/V66_LIST_MAP_REGRESSION_010.coqc.log","experiments/kernel_replay_v66_regression_maintenance/coq/V66_LIST_MAP_REGRESSION_010.v","coqchk_success","logs/V66_BATCH.coqchk.log"
"V66_LIST_MAP_REGRESSION_011","list-map-regression","2","kernel_success","456.4","logs/V66_LIST_MAP_REGRESSION_011.coqc.log","experiments/kernel_replay_v66_regression_maintenance/coq/V66_LIST_MAP_REGRESSION_011.v","coqchk_success","logs/V66_BATCH.coqchk.log"
"V66_LIST_MAP_REGRESSION_012","list-map-regression","2","kernel_success","406.1","logs/V66_LIST_MAP_REGRESSION_012.coqc.log","experiments/kernel_replay_v66_regression_maintenance/coq/V66_LIST_MAP_REGRESSION_012.v","coqchk_success","logs/V66_BATCH.coqchk.log"
"V66_LIST_MAP_REGRESSION_013","list-map-regression","2","kernel_success","454.5","logs/V66_LIST_MAP_REGRESSION_013.coqc.log","experiments/kernel_replay_v66_regression_maintenance/coq/V66_LIST_MAP_REGRESSION_013.v","coqchk_success","logs/V66_BATCH.coqchk.log"
"V66_LIST_MAP_REGRESSION_014","list-map-regression","2","kernel_success","588.6","logs/V66_LIST_MAP_REGRESSION_014.coqc.log","experiments/kernel_replay_v66_regression_maintenance/coq/V66_LIST_MAP_REGRESSION_014.v","coqchk_success","logs/V66_BATCH.coqchk.log"
"V66_LIST_MAP_REGRESSION_015","list-map-regression","2","kernel_success","624.9","logs/V66_LIST_MAP_REGRESSION_015.coqc.log","experiments/kernel_replay_v66_regression_maintenance/coq/V66_LIST_MAP_REGRESSION_015.v","coqchk_success","logs/V66_BATCH.coqchk.log"
"V66_LIST_MAP_REGRESSION_016","list-map-regression","2","kernel_success","773","logs/V66_LIST_MAP_REGRESSION_016.coqc.log","experiments/kernel_replay_v66_regression_maintenance/coq/V66_LIST_MAP_REGRESSION_016.v","coqchk_success","logs/V66_BATCH.coqchk.log"
"V66_LIST_MAP_REGRESSION_017","list-map-regression","2","kernel_success","685.8","logs/V66_LIST_MAP_REGRESSION_017.coqc.log","experiments/kernel_replay_v66_regression_maintenance/coq/V66_LIST_MAP_REGRESSION_017.v","coqchk_success","logs/V66_BATCH.coqchk.log"
"V66_LIST_MAP_REGRESSION_018","list-map-regression","2","kernel_success","569","logs/V66_LIST_MAP_REGRESSION_018.coqc.log","experiments/kernel_replay_v66_regression_maintenance/coq/V66_LIST_MAP_REGRESSION_018.v","coqchk_success","logs/V66_BATCH.coqchk.log"
"V66_LIST_MAP_REGRESSION_019","list-map-regression","2","kernel_success","502.3","logs/V66_LIST_MAP_REGRESSION_019.coqc.log","experiments/kernel_replay_v66_regression_maintenance/coq/V66_LIST_MAP_REGRESSION_019.v","coqchk_success","logs/V66_BATCH.coqchk.log"
"V66_LIST_MAP_REGRESSION_020","list-map-regression","2","kernel_success","422","logs/V66_LIST_MAP_REGRESSION_020.coqc.log","experiments/kernel_replay_v66_regression_maintenance/coq/V66_LIST_MAP_REGRESSION_020.v","coqchk_success","logs/V66_BATCH.coqchk.log"
