suite,suite_name,source_modules,decision_requests,accepted_kernel_checked,safe_reject_policy_blocked,safe_reject_compile_blocked,unexpected_failure
V43,minimal replay,4,4,3,1,0,0
V44,seed suite,7,7,7,0,0,0
V45,generated seed packages,7,7,7,0,0,0
V50,axiom-policy stress,5,5,2,3,0,0
V51,relation-strength suite,5,6,5,1,0,0
V58,large generated suite,60,60,60,0,0,0
V59,scaling curve suite,840,840,840,0,0,0
V60,case-study suite,12,12,12,0,0,0
V63,library migration suite,360,360,360,0,0,0
V64,robustness matrix,420,420,240,60,120,0
V65,standard-library interop,300,300,300,0,0,0
V66,proof-maintenance regression,480,480,480,0,0,0
V70,third-party idiom mix,720,720,720,0,0,0
