"module","family","obligations","coqc_status","coqc_ms","coqc_log","coqchk_status","coqchk_log"
"V70_LIST_MAP_APP_001","list-map-app","2","kernel_success","757.7","logs/V70_LIST_MAP_APP_001.coqc.log","coqchk_success","logs/V70_BATCH.coqchk.log"
"V70_LIST_MAP_APP_002","list-map-app","2","kernel_success","541.6","logs/V70_LIST_MAP_APP_002.coqc.log","coqchk_success","logs/V70_BATCH.coqchk.log"
"V70_LIST_MAP_APP_003","list-map-app","2","kernel_success","521","logs/V70_LIST_MAP_APP_003.coqc.log","coqchk_success","logs/V70_BATCH.coqchk.log"
"V70_LIST_MAP_APP_004","list-map-app","2","kernel_success","521.6","logs/V70_LIST_MAP_APP_004.coqc.log","coqchk_success","logs/V70_BATCH.coqchk.log"
"V70_LIST_MAP_APP_005","list-map-app","2","kernel_success","610.5","logs/V70_LIST_MAP_APP_005.coqc.log","coqchk_success","logs/V70_BATCH.coqchk.log"
"V70_LIST_MAP_APP_006","list-map-app","2","kernel_success","594.4","logs/V70_LIST_MAP_APP_006.coqc.log","coqchk_success","logs/V70_BATCH.coqchk.log"
"V70_LIST_MAP_APP_007","list-map-app","2","kernel_success","571.9","logs/V70_LIST_MAP_APP_007.coqc.log","coqchk_success","logs/V70_BATCH.coqchk.log"
"V70_LIST_MAP_APP_008","list-map-app","2","kernel_success","602.6","logs/V70_LIST_MAP_APP_008.coqc.log","coqchk_success","logs/V70_BATCH.coqchk.log"
"V70_LIST_MAP_APP_009","list-map-app","2","kernel_success","454.9","logs/V70_LIST_MAP_APP_009.coqc.log","coqchk_success","logs/V70_BATCH.coqchk.log"
"V70_LIST_MAP_APP_010","list-map-app","2","kernel_success","559.2","logs/V70_LIST_MAP_APP_010.coqc.log","coqchk_success","logs/V70_BATCH.coqchk.log"
"V70_LIST_MAP_APP_011","list-map-app","2","kernel_success","488.4","logs/V70_LIST_MAP_APP_011.coqc.log","coqchk_success","logs/V70_BATCH.coqchk.log"
"V70_LIST_MAP_APP_012","list-map-app","2","kernel_success","458.7","logs/V70_LIST_MAP_APP_012.coqc.log","coqchk_success","logs/V70_BATCH.coqchk.log"
"V70_LIST_MAP_APP_013","list-map-app","2","kernel_success","588.1","logs/V70_LIST_MAP_APP_013.coqc.log","coqchk_success","logs/V70_BATCH.coqchk.log"
"V70_LIST_MAP_APP_014","list-map-app","2","kernel_success","481.8","logs/V70_LIST_MAP_APP_014.coqc.log","coqchk_success","logs/V70_BATCH.coqchk.log"
"V70_LIST_MAP_APP_015","list-map-app","2","kernel_success","431.1","logs/V70_LIST_MAP_APP_015.coqc.log","coqchk_success","logs/V70_BATCH.coqchk.log"
"V70_LIST_MAP_APP_016","list-map-app","2","kernel_success","451.8","logs/V70_LIST_MAP_APP_016.coqc.log","coqchk_success","logs/V70_BATCH.coqchk.log"
"V70_LIST_MAP_APP_017","list-map-app","2","kernel_success","450.9","logs/V70_LIST_MAP_APP_017.coqc.log","coqchk_success","logs/V70_BATCH.coqchk.log"
"V70_LIST_MAP_APP_018","list-map-app","2","kernel_success","482.9","logs/V70_LIST_MAP_APP_018.coqc.log","coqchk_success","logs/V70_BATCH.coqchk.log"
"V70_LIST_MAP_APP_019","list-map-app","2","kernel_success","485","logs/V70_LIST_MAP_APP_019.coqc.log","coqchk_success","logs/V70_BATCH.coqchk.log"
"V70_LIST_MAP_APP_020","list-map-app","2","kernel_success","481.7","logs/V70_LIST_MAP_APP_020.coqc.log","coqchk_success","logs/V70_BATCH.coqchk.log"
"V70_LIST_MAP_APP_021","list-map-app","2","kernel_success","513.3","logs/V70_LIST_MAP_APP_021.coqc.log","coqchk_success","logs/V70_BATCH.coqchk.log"
"V70_LIST_MAP_APP_022","list-map-app","2","kernel_success","483.5","logs/V70_LIST_MAP_APP_022.coqc.log","coqchk_success","logs/V70_BATCH.coqchk.log"
"V70_LIST_MAP_APP_023","list-map-app","2","kernel_success","538","logs/V70_LIST_MAP_APP_023.coqc.log","coqchk_success","logs/V70_BATCH.coqchk.log"
"V70_LIST_MAP_APP_024","list-map-app","2","kernel_success","462.5","logs/V70_LIST_MAP_APP_024.coqc.log","coqchk_success","logs/V70_BATCH.coqchk.log"
"V70_LIST_MAP_APP_025","list-map-app","2","kernel_success","437.5","logs/V70_LIST_MAP_APP_025.coqc.log","coqchk_success","logs/V70_BATCH.coqchk.log"
"V70_LIST_MAP_APP_026","list-map-app","2","kernel_success","516.5","logs/V70_LIST_MAP_APP_026.coqc.log","coqchk_success","logs/V70_BATCH.coqchk.log"
"V70_LIST_MAP_APP_027","list-map-app","2","kernel_success","466.1","logs/V70_LIST_MAP_APP_027.coqc.log","coqchk_success","logs/V70_BATCH.coqchk.log"
"V70_LIST_MAP_APP_028","list-map-app","2","kernel_success","471.3","logs/V70_LIST_MAP_APP_028.coqc.log","coqchk_success","logs/V70_BATCH.coqchk.log"
"V70_LIST_MAP_APP_029","list-map-app","2","kernel_success","526.2","logs/V70_LIST_MAP_APP_029.coqc.log","coqchk_success","logs/V70_BATCH.coqchk.log"
"V70_LIST_MAP_APP_030","list-map-app","2","kernel_success","583.1","logs/V70_LIST_MAP_APP_030.coqc.log","coqchk_success","logs/V70_BATCH.coqchk.log"
"V70_LIST_MAP_APP_031","list-map-app","2","kernel_success","512.9","logs/V70_LIST_MAP_APP_031.coqc.log","coqchk_success","logs/V70_BATCH.coqchk.log"
"V70_LIST_MAP_APP_032","list-map-app","2","kernel_success","497.5","logs/V70_LIST_MAP_APP_032.coqc.log","coqchk_success","logs/V70_BATCH.coqchk.log"
"V70_LIST_MAP_APP_033","list-map-app","2","kernel_success","466.5","logs/V70_LIST_MAP_APP_033.coqc.log","coqchk_success","logs/V70_BATCH.coqchk.log"
"V70_LIST_MAP_APP_034","list-map-app","2","kernel_success","423.2","logs/V70_LIST_MAP_APP_034.coqc.log","coqchk_success","logs/V70_BATCH.coqchk.log"
"V70_LIST_MAP_APP_035","list-map-app","2","kernel_success","424.3","logs/V70_LIST_MAP_APP_035.coqc.log","coqchk_success","logs/V70_BATCH.coqchk.log"
"V70_LIST_MAP_APP_036","list-map-app","2","kernel_success","407.4","logs/V70_LIST_MAP_APP_036.coqc.log","coqchk_success","logs/V70_BATCH.coqchk.log"
"V70_LIST_MAP_APP_037","list-map-app","2","kernel_success","431.7","logs/V70_LIST_MAP_APP_037.coqc.log","coqchk_success","logs/V70_BATCH.coqchk.log"
"V70_LIST_MAP_APP_038","list-map-app","2","kernel_success","503.9","logs/V70_LIST_MAP_APP_038.coqc.log","coqchk_success","logs/V70_BATCH.coqchk.log"
"V70_LIST_MAP_APP_039","list-map-app","2","kernel_success","489","logs/V70_LIST_MAP_APP_039.coqc.log","coqchk_success","logs/V70_BATCH.coqchk.log"
"V70_LIST_MAP_APP_040","list-map-app","2","kernel_success","536.8","logs/V70_LIST_MAP_APP_040.coqc.log","coqchk_success","logs/V70_BATCH.coqchk.log"
"V70_LIST_MAP_APP_041","list-map-app","2","kernel_success","546.6","logs/V70_LIST_MAP_APP_041.coqc.log","coqchk_success","logs/V70_BATCH.coqchk.log"
"V70_LIST_MAP_APP_042","list-map-app","2","kernel_success","545.4","logs/V70_LIST_MAP_APP_042.coqc.log","coqchk_success","logs/V70_BATCH.coqchk.log"
"V70_LIST_MAP_APP_043","list-map-app","2","kernel_success","503.3","logs/V70_LIST_MAP_APP_043.coqc.log","coqchk_success","logs/V70_BATCH.coqchk.log"
"V70_LIST_MAP_APP_044","list-map-app","2","kernel_success","438","logs/V70_LIST_MAP_APP_044.coqc.log","coqchk_success","logs/V70_BATCH.coqchk.log"
"V70_LIST_MAP_APP_045","list-map-app","2","kernel_success","504","logs/V70_LIST_MAP_APP_045.coqc.log","coqchk_success","logs/V70_BATCH.coqchk.log"
"V70_LIST_MAP_APP_046","list-map-app","2","kernel_success","530.8","logs/V70_LIST_MAP_APP_046.coqc.log","coqchk_success","logs/V70_BATCH.coqchk.log"
"V70_LIST_MAP_APP_047","list-map-app","2","kernel_success","444.4","logs/V70_LIST_MAP_APP_047.coqc.log","coqchk_success","logs/V70_BATCH.coqchk.log"
